"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"DRREDDY","Dr. Reddy's Laboratories Limited","7(2)","Dr. Reddy's Employees ESOS","Other","Equity Shares","371325","0.22",,"1125","4509563","Sell","Equity Shares","370200","0.22","27-Jun-2020","27-Jun-2020","30-Jun-2020","Off Market","-","-","0","0","0","0","NA","-","01-Jul-2020 19:55","https://archives.nseindia.com/corporate/xbrl/IT_1074713_273262_01072020075516_WEB.xml"
"DRREDDY","Dr. Reddy's Laboratories Limited","7(2)","Yugandhar Puvvala","Employees/Designated Employees","Equity Shares","2390","0",,"800","3206800","Buy","Equity Shares","3190","0","27-Jun-2020","27-Jun-2020","29-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","01-Jul-2020 19:55","https://archives.nseindia.com/corporate/xbrl/IT_1074713_273262_01072020075516_WEB.xml"
"DRREDDY","Dr. Reddy's Laboratories Limited","7(2)","Raghvendra Prasad","Employees/Designated Employees","Equity Shares","75","0",,"325","1302763","Buy","Equity Shares","400","0","27-Jun-2020","27-Jun-2020","30-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","01-Jul-2020 19:55","https://archives.nseindia.com/corporate/xbrl/IT_1074713_273262_01072020075516_WEB.xml"
"DRREDDY","Dr. Reddy's Laboratories Limited","7(2)","Raghvendra Prasad","Employees/Designated Employees","Equity Shares","Nil","0",,"75","300638","Buy","Equity Shares","75","0","27-Jun-2020","27-Jun-2020","30-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","01-Jul-2020 19:55","https://archives.nseindia.com/corporate/xbrl/IT_1074713_273262_01072020075516_WEB.xml"
"DRREDDY","Dr. Reddy's Laboratories Limited","7(2)","Srinivasa Rao","Employees/Designated Employees","Equity Shares","600","0",,"1244","5013507","Buy","Equity Shares","1844","0","27-Jun-2020","27-Jun-2020","29-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","01-Jul-2020 19:55","https://archives.nseindia.com/corporate/xbrl/IT_1074713_273262_01072020075516_WEB.xml"
"DRREDDY","Dr. Reddy's Laboratories Limited","7(2)","Mr John Roosenberg II","Employees/Designated Employees","Equity Shares","Nil","0",,"491","1998984","Buy","Equity Shares","491","0","27-Jun-2020","27-Jun-2020","29-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","01-Jul-2020 19:55","https://archives.nseindia.com/corporate/xbrl/IT_1074713_273262_01072020075516_WEB.xml"
"DRREDDY","Dr. Reddy's Laboratories Limited","7(2)","Milan Kalawadia","Employees/Designated Employees","Equity Shares","4666","0",,"2675","10794240","Buy","Equity Shares","7341","0","27-Jun-2020","27-Jun-2020","29-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","01-Jul-2020 19:55","https://archives.nseindia.com/corporate/xbrl/IT_1074713_273262_01072020075516_WEB.xml"
"MEP","MEP Infrastructure Developers Limited","7(2)","A J Tolls Private Limited","Promoter Group","Equity Shares","30494432","16.62",,"1357107","27006429","Pledge Revoke","Equity Shares","30494432","16.62","29-Jun-2020","29-Jun-2020","01-Jul-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","01-Jul-2020 19:53","https://archives.nseindia.com/corporate/xbrl/IT_1074712_273252_01072020075337_WEB.xml"
"MOTILALOFS","Motilal Oswal Financial Services Limited","7(2)","Samir Vira","Employees/Designated Employees","Equity Shares","7562","0.01",,"7000","4131320","Sell","Equity Shares","562","0","29-Jun-2020","29-Jun-2020","29-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 19:40","https://archives.nseindia.com/corporate/xbrl/IT_1074708_273238_01072020074045_WEB.xml"
"WHEELS","Wheels India Limited","7(2)","Titan Europe Limited","Promoters","Equity Shares","3612091","15.01",,"3612091","1545154836","Sell","Equity Shares","Nil","0","26-Jun-2020","29-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","BSE,NSE","-","01-Jul-2020 19:40","https://archives.nseindia.com/corporate/xbrl/IT_1074707_273236_01072020074025_WEB.xml"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","7(2)","Flourishing Trade and Investment Ltd","Promoter Group","Equity Shares","23587196","1.16",,"719500","249999642","Buy","Equity Shares","24306696","1.2","30-Jun-2020","30-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","01-Jul-2020 19:34","https://archives.nseindia.com/corporate/xbrl/IT_1074705_273231_01072020073408_WEB.xml"
"ABFRL","Aditya Birla Fashion and Retail Limited","7(2)","Krishna Kishore Maheshwari","Employees/Designated Employees","Equity Shares","106095","0.01",,"10000","1269373","Sell","Equity Shares","96095","0.01","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 19:27","https://archives.nseindia.com/corporate/xbrl/IT_1074702_273228_01072020072659_WEB.xml"
"WHEELS","Wheels India Limited","7(2)","Sundaram Finance Holdings Limited","Promoters","Equity Shares","4469917","18.57",,"1131200","483701120","Buy","Equity Shares","5601117","23.27","29-Jun-2020","29-Jun-2020","30-Jun-2020","Inter-se-Transfer","-","-","0","0","0","0","BSE","-","01-Jul-2020 19:25","https://archives.nseindia.com/corporate/xbrl/IT_1074701_273226_01072020072508_WEB.xml"
"VGUARD","V-Guard Industries Limited","7(2)","Antony Sebastian K","Employees/Designated Employees","Equity Shares","340216","0.08",,"2000","354159","Sell","Equity Shares","338216","0.08","24-Jun-2020","30-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 19:19","https://archives.nseindia.com/corporate/xbrl/IT_1074699_273221_01072020071943_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","J Rajaraman","Other","Equity Shares","12000","0",,"200","346790","Sell","Equity Shares","11800","0","26-Jun-2020","26-Jun-2020","26-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1074696_273204_01072020070855_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","J Rajaraman","Other","Equity Shares","11600","0",,"300","521970","Sell","Equity Shares","11300","0","30-Jun-2020","30-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1074696_273204_01072020070855_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","J Rajaraman","Other","Equity Shares","Nil","0",,"800","251400","Buy","Equity Shares","800","0","11-Jun-2020","11-Jun-2020","16-Jun-2020","Public Right","-","-","0","0","0","0","NA","-","01-Jul-2020 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1074696_273204_01072020070855_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","J Rajaraman","Other","Equity Shares","11800","0",,"200","344650","Sell","Equity Shares","11600","0","29-Jun-2020","29-Jun-2020","29-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1074696_273204_01072020070855_WEB.xml"
"MOKSH","Moksh Ornaments Limited","7(2)","Purvesh Amrit Shah","Promoters","Equity Shares","141001","1.31",,"24000","0","Buy","Equity Shares","165001","1.54","29-Jun-2020","29-Jun-2020","01-Jul-2020","Market Purchase","-","-","0","0","0","0","NSE","-","01-Jul-2020 19:04","https://archives.nseindia.com/corporate/xbrl/IT_1074694_273199_01072020070434_WEB.xml"
"SUNFLAG","Sunflag Iron And Steel Company Limited","7(2)","Mr. Charanjiv Dhawan","Immediate relative","Equity Shares","212512","0.12",,"73115","2776735","Sell","Equity Shares","139397","0.08","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Sale","-","-","0","0","0","0","BSE,NSE","-","01-Jul-2020 18:56","https://archives.nseindia.com/corporate/xbrl/IT_1074692_273189_01072020065620_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Hitesh Oberoi","Director","Equity Shares","6497608","5.3",,"500","1385000","Sell","Equity Shares","6497108","5.3","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 18:54","https://archives.nseindia.com/corporate/xbrl/IT_1074691_273185_01072020065401_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Endeavour Holding Trust","Promoter Group","Equity Shares","8306673","6.78",,"454","1257580","Sell","Equity Shares","8306219","6.78","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 18:54","https://archives.nseindia.com/corporate/xbrl/IT_1074691_273185_01072020065401_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","MUNEESH DHAWAN","Employees/Designated Employees","Equity Shares","400","0",,"100","568100","Sell","Equity Shares","300","0","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 18:46","https://archives.nseindia.com/corporate/xbrl/IT_1074687_273181_01072020064655_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","KAILASH CHANDER SHARMA","Employees/Designated Employees","Equity Shares","10795","0.09",,"200","1120000","Sell","Equity Shares","10595","0.09","29-Jun-2020","29-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 18:46","https://archives.nseindia.com/corporate/xbrl/IT_1074687_273181_01072020064655_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","ABHIJT KOTNIS","Employees/Designated Employees","Equity Shares","4500","0.04",,"600","3372000","Sell","Equity Shares","3900","0.03","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 18:46","https://archives.nseindia.com/corporate/xbrl/IT_1074687_273181_01072020064655_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","KAILASH CHANDER SHARMA","Employees/Designated Employees","Equity Shares","10595","0.09",,"315","1792447","Sell","Equity Shares","10280","0.09","30-Jun-2020","30-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 18:46","https://archives.nseindia.com/corporate/xbrl/IT_1074687_273181_01072020064655_WEB.xml"
"IEX","Indian Energy Exchange Limited","7(2)","DEVEN D PATEL","Employees/Designated Employees","Equity Shares","19436","0.01",,"10200","765000","Buy","Equity Shares","29636","0.01","26-Jun-2020","26-Jun-2020","29-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","01-Jul-2020 18:25","https://archives.nseindia.com/corporate/xbrl/IT_1074685_273176_01072020062531_WEB.xml"
"IEX","Indian Energy Exchange Limited","7(2)","VAIBHAV PRAMOD AGGARWAL","Employees/Designated Employees","Equity Shares","Nil","0",,"17000","1275000","Buy","Equity Shares","17000","0.01","26-Jun-2020","26-Jun-2020","29-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","01-Jul-2020 18:25","https://archives.nseindia.com/corporate/xbrl/IT_1074685_273176_01072020062531_WEB.xml"
"IEX","Indian Energy Exchange Limited","7(2)","GOBALAKRISHNAN RADHAKRISHNAN","Employees/Designated Employees","Equity Shares","4900","0",,"10200","765000","Buy","Equity Shares","15100","0.01","26-Jun-2020","26-Jun-2020","29-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","01-Jul-2020 18:25","https://archives.nseindia.com/corporate/xbrl/IT_1074685_273176_01072020062531_WEB.xml"
"IEX","Indian Energy Exchange Limited","7(2)","AYAZ ABDUL AZIZ ARBANI","Employees/Designated Employees","Equity Shares","4800","0",,"10200","765000","Buy","Equity Shares","15000","0.01","26-Jun-2020","26-Jun-2020","30-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","01-Jul-2020 18:25","https://archives.nseindia.com/corporate/xbrl/IT_1074685_273176_01072020062531_WEB.xml"
"IEX","Indian Energy Exchange Limited","7(2)","Indranil  Chatterjee","Employees/Designated Employees","Equity Shares","Nil","0",,"9900","742500","Buy","Equity Shares","9900","0","26-Jun-2020","26-Jun-2020","30-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","01-Jul-2020 18:25","https://archives.nseindia.com/corporate/xbrl/IT_1074685_273176_01072020062531_WEB.xml"
"SEQUENT","Sequent Scientific Limited","7(2)","Pronomz Ventures LLP","Promoters","Equity Shares","7670000","3.09",,"3201744","284795129","Sell","Equity Shares","4468256","1.8","29-Jun-2020","29-Jun-2020","30-Jun-2020","Inter-se-Transfer","-","-","0","0","0","0","BSE","-","01-Jul-2020 18:07","https://archives.nseindia.com/corporate/xbrl/IT_1074684_273154_01072020060750_WEB.xml"
"SEQUENT","Sequent Scientific Limited","7(2)","Agnus Holdings Private Limited","Promoters","Equity Shares","49121895","19.78",,"3201744","284795129","Buy","Equity Shares","52323639","21.07","29-Jun-2020","29-Jun-2020","30-Jun-2020","Inter-se-Transfer","-","-","0","0","0","0","BSE","-","01-Jul-2020 18:07","https://archives.nseindia.com/corporate/xbrl/IT_1074684_273154_01072020060750_WEB.xml"
"PSPPROJECT","PSP Projects Limited","7(2)","PRAHALADBHAI SHIVRAMBHAI PATEL","Promoters","Equity Shares","18417808","51.16",,"35000","13887438","Buy","Equity Shares","18452808","51.26","26-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","01-Jul-2020 18:05","https://archives.nseindia.com/corporate/xbrl/IT_1074682_273151_01072020060554_WEB.xml"
"PSPPROJECT","PSP Projects Limited","7(2)","PRAHALADBHAI SHIVRAMBHAI PATEL","Promoters","Equity Shares","18452808","51.26",,"30000","11790533","Buy","Equity Shares","18482808","51.34","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Purchase","-","-","0","0","0","0","NSE","-","01-Jul-2020 18:05","https://archives.nseindia.com/corporate/xbrl/IT_1074682_273151_01072020060554_WEB.xml"
"ASIANPAINT","Asian Paints Limited","7(2)","Geetanjali Trading and Investments Private Limited","Promoters","Equity Shares","45706140","4.77",,"2750000","4652900000","Pledge Revoke","Equity Shares","45706140","4.77","29-Jun-2020","29-Jun-2020","30-Jun-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","01-Jul-2020 18:04","https://archives.nseindia.com/corporate/xbrl/IT_1074681_273147_01072020060409_WEB.xml"
"ASIANPAINT","Asian Paints Limited","7(2)","Smiti Holding and Trading Company Private Limited","Promoters","Equity Shares","54873068","5.72",,"93000","156891000","Pledge","Equity Shares","54873068","5.72","26-Jun-2020","26-Jun-2020","29-Jun-2020","Pledge Creation","-","-","0","0","0","0","NA","-","01-Jul-2020 18:04","https://archives.nseindia.com/corporate/xbrl/IT_1074681_273147_01072020060409_WEB.xml"
"ASIANPAINT","Asian Paints Limited","7(2)","Smiti Holding and Trading Company Private Limited","Promoters","Equity Shares","54873068","5.72",,"693000","1169091000","Pledge","Equity Shares","54873068","5.72","26-Jun-2020","26-Jun-2020","29-Jun-2020","Pledge Creation","-","-","0","0","0","0","NA","-","01-Jul-2020 18:04","https://archives.nseindia.com/corporate/xbrl/IT_1074681_273147_01072020060409_WEB.xml"
"ASIANPAINT","Asian Paints Limited","7(2)","Rayirth Holding and Trading Company Private Limited","Promoters","Equity Shares","965910","0.1",,"965910","1629800000","Pledge Revoke","Equity Shares","965910","0.1","26-Jun-2020","26-Jun-2020","30-Jun-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","01-Jul-2020 18:04","https://archives.nseindia.com/corporate/xbrl/IT_1074681_273147_01072020060409_WEB.xml"
"MRO-TEK","MRO-TEK Realty Limited","7(2)","GAURI ANIRUDDHA MEHTA","Promoters","Equity Shares","733376","3.93",,"20177","516935","Buy","Equity Shares","753553","4.03","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Purchase","-","-","0","0","0","0","NSE","-","01-Jul-2020 17:56","https://archives.nseindia.com/corporate/xbrl/IT_1074680_273142_01072020055612_WEB.xml"
"KOTARISUG","Kothari Sugars And Chemicals Limited","7(2)","Arjun B Kothari","Promoters","Equity Shares","14400","0.01",,"40067","0","Buy","Equity Shares","54467","0.09","29-Jun-2020","29-Jun-2020","30-Jun-2020","Gift","-","-","0","0","0","0","NA","-","01-Jul-2020 17:55","https://archives.nseindia.com/corporate/xbrl/IT_1074679_273140_01072020055535_WEB.xml"
"MANGLMCEM","Mangalam Cement Limited","7(2)","VIDULA CONSULTANCY SERVICES LIMITED","Promoters","Equity Shares","2220720","8.32",,"150000","28270500","Buy","Equity Shares","2370720","8.88","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Purchase","-","-","0","0","0","0","NSE","-","01-Jul-2020 17:51","https://archives.nseindia.com/corporate/xbrl/IT_1074677_273130_01072020055140_WEB.xml"
"PITTIENG","Pitti Engineering Limited","7(3)","SBICAP TRUSTEES COMPANY LIMITED [Pledgee]","-","Equity Shares","3889060","12.13",,"2402308","12011540","Pledge","Equity Shares","3889060","12.13","29-Jun-2020","29-Jun-2020","30-Jun-2020","Pledge Creation","-","-","0","0","0","0","NA","-","01-Jul-2020 17:50","https://archives.nseindia.com/corporate/xbrl/IT_1074676_273127_01072020055002_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Dr. Vandana Lal","Director","Equity Shares","16484422","19.78",,"57584","90222761","Sell","Equity Shares","16426838","19.71","29-Jun-2020","30-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 17:49","https://archives.nseindia.com/corporate/xbrl/IT_1074675_273125_01072020054930_WEB.xml"
"TCNSBRANDS","TCNS Clothing Co. Limited","7(2)","SREYASHEE HALDER","Employees/Designated Employees","Equity Shares","188161","0.3",,"8216","2820907","Sell","Equity Shares","179945","0.29","29-Jun-2020","30-Jun-2020","01-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 17:48","https://archives.nseindia.com/corporate/xbrl/IT_1074672_273119_01072020054807_WEB.xml"
"QUESS","Quess Corp Limited","7(2)","Ajit Abraham Isaac","Promoters","Equity Shares","18496711","12.53",,"90000","35001433","Buy","Equity Shares","18586711","12.59","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Purchase","-","-","0","0","0","0","NSE","-","01-Jul-2020 17:29","https://archives.nseindia.com/corporate/xbrl/IT_1074666_273099_01072020052903_WEB.xml"
"BAJAJFINSV","Bajaj Finserv Limited","7(2)","VANRAJ BAJAJ","Promoter Group","Equity Shares","Nil","0",,"8400","49477680","Buy","Equity Shares","8400","0.01","29-Jun-2020","29-Jun-2020","01-Jul-2020","Gift","-","-","0","0","0","0","NA","-","01-Jul-2020 17:13","https://archives.nseindia.com/corporate/xbrl/IT_1074665_273090_01072020051352_WEB.xml"
"BAJAJFINSV","Bajaj Finserv Limited","7(2)","KIRAN BAJAJ","Promoter Group","Equity Shares","991725","0.62",,"8400","49477680","Sell","Equity Shares","983325","0.62","29-Jun-2020","29-Jun-2020","01-Jul-2020","Gift","-","-","0","0","0","0","NA","-","01-Jul-2020 17:13","https://archives.nseindia.com/corporate/xbrl/IT_1074665_273090_01072020051352_WEB.xml"
"KOTHARIPET","Kothari Petrochemicals Limited","7(2)","ARJUN B. KOTHARI","Promoters","Equity Shares","9393","0.02",,"200","0","Buy","Equity Shares","9593","0.02","29-Jun-2020","29-Jun-2020","30-Jun-2020","Gift","-","-","0","0","0","0","NA","-","01-Jul-2020 17:12","https://archives.nseindia.com/corporate/xbrl/IT_1074663_273087_01072020051210_WEB.xml"
"CYIENT","Cyient Limited","7(2)","BVR Mohan Reddy","Promoters","Equity Shares","1515012","1.38",,"116050","31760564","Buy","Equity Shares","1631062","1.48","26-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","01-Jul-2020 17:00","https://archives.nseindia.com/corporate/xbrl/IT_1074661_273082_01072020050030_WEB.xml"
"CYIENT","Cyient Limited","7(2)","B Sucharitha","Promoters","Equity Shares","1083458","0.99",,"148169","40639793","Buy","Equity Shares","1231627","1.12","25-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","01-Jul-2020 17:00","https://archives.nseindia.com/corporate/xbrl/IT_1074661_273082_01072020050030_WEB.xml"
"CYIENT","Cyient Limited","7(2)","Vikas Sehgal","Director","Equity Shares","738570","0.67",,"103500","28310355","Buy","Equity Shares","842070","0.77","29-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","01-Jul-2020 17:00","https://archives.nseindia.com/corporate/xbrl/IT_1074661_273082_01072020050030_WEB.xml"
"JKTYRE","JK Tyre & Industries Limited","7(2)","Bharat Hari Singhania","Promoters","Equity Shares","923325","0.37",,"38500","2454760","Buy","Equity Shares","961825","0.39","29-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE","-","01-Jul-2020 16:25","https://archives.nseindia.com/corporate/xbrl/IT_1074659_273048_01072020042517_WEB.xml"
"JKTYRE","JK Tyre & Industries Limited","7(2)","Bharat Hari Singhania (HUF)","Promoter Group","Equity Shares","213745","0.09",,"211500","13483125","Buy","Equity Shares","425245","0.17","29-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE","-","01-Jul-2020 16:25","https://archives.nseindia.com/corporate/xbrl/IT_1074659_273048_01072020042517_WEB.xml"
"JKTYRE","JK Tyre & Industries Limited","7(2)","Raghupati Singhania","Promoters","Equity Shares","1458990","0.59",,"185000","11793750","Buy","Equity Shares","1643990","0.67","29-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE","-","01-Jul-2020 16:25","https://archives.nseindia.com/corporate/xbrl/IT_1074659_273048_01072020042517_WEB.xml"
"JKTYRE","JK Tyre & Industries Limited","7(2)","Raghupati Singhania (HUF)","Promoter Group","Equity Shares","75000","0.03",,"200000","12750000","Buy","Equity Shares","275000","0.11","29-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE","-","01-Jul-2020 16:25","https://archives.nseindia.com/corporate/xbrl/IT_1074659_273048_01072020042517_WEB.xml"
"JKTYRE","JK Tyre & Industries Limited","7(2)","Bengal & Assam Company Limited","Promoters","Equity Shares","131158250","53.27",,"1155000","130003250","Sell","Equity Shares","130003250","52.8","29-Jun-2020","29-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","BSE","-","01-Jul-2020 16:25","https://archives.nseindia.com/corporate/xbrl/IT_1074659_273048_01072020042517_WEB.xml"
"JKTYRE","JK Tyre & Industries Limited","7(2)","Harsh Pati Singhania","Promoter Group","Equity Shares","296490","0.12",,"67500","4303125","Buy","Equity Shares","363990","0.15","29-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE","-","01-Jul-2020 16:25","https://archives.nseindia.com/corporate/xbrl/IT_1074659_273048_01072020042517_WEB.xml"
"JKTYRE","JK Tyre & Industries Limited","7(2)","Vikrampati Singhania","Promoter Group","Equity Shares","296530","0.12",,"67500","4303125","Buy","Equity Shares","364030","0.15","29-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE","-","01-Jul-2020 16:25","https://archives.nseindia.com/corporate/xbrl/IT_1074659_273048_01072020042517_WEB.xml"
"JKTYRE","JK Tyre & Industries Limited","7(2)","Anshuman Singhania","Promoter Group","Equity Shares","138375","0.06",,"106500","6789375","Buy","Equity Shares","244875","0.1","29-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE","-","01-Jul-2020 16:25","https://archives.nseindia.com/corporate/xbrl/IT_1074659_273048_01072020042517_WEB.xml"
"JKTYRE","JK Tyre & Industries Limited","7(2)","Shrivats Singhania","Promoter Group","Equity Shares","100875","0.04",,"106500","6789375","Buy","Equity Shares","207375","0.08","29-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE","-","01-Jul-2020 16:25","https://archives.nseindia.com/corporate/xbrl/IT_1074659_273048_01072020042517_WEB.xml"
"JKTYRE","JK Tyre & Industries Limited","7(2)","Vinita Singhania","Promoter Group","Equity Shares","1231485","0.5",,"172000","10965000","Buy","Equity Shares","1403485","0.57","29-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE","-","01-Jul-2020 16:25","https://archives.nseindia.com/corporate/xbrl/IT_1074659_273048_01072020042517_WEB.xml"
"AUROPHARMA","Aurobindo Pharma Limited","7(2)","A JANARDHANA KAMATH","Other","Equity Shares","20000","0",,"4000","3083360","Sell","Equity Shares","16000","0","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 15:50","https://archives.nseindia.com/corporate/xbrl/IT_1074658_272996_01072020035037_WEB.xml"
"GEOJITFSL","Geojit Financial Services Limited","7(2)","Soumya Suresh","Immediate relative","Equity Shares","Nil","0",,"70000","2309731","Buy","Equity Shares","70000","0.03","24-Jun-2020","29-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","01-Jul-2020 15:07","https://archives.nseindia.com/corporate/xbrl/IT_1074655_272917_01072020030719_WEB.xml"
"BERGEPAINT","Berger Paints (I) Limited","7(2)","Ranjit Chakravorty","Employees/Designated Employees","Equity Shares","785","0",,"785","394855","Sell","Equity Shares","Nil","0","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 14:33","https://archives.nseindia.com/corporate/xbrl/IT_1074651_272862_01072020023313_WEB.xml"
"WONDERLA","Wonderla Holidays Limited","7(2)","Kochouseph Chittilappilly","Promoters","Equity Shares","14996828","26.53",,"23632","3124629","Buy","Equity Shares","15020460","26.58","17-Jun-2020","30-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","01-Jul-2020 14:15","https://archives.nseindia.com/corporate/xbrl/IT_1074649_272839_01072020021540_WEB.xml"
"SAGCEM","Sagar Cements Limited","7(2)","RV CONSULTING SERVICES PRIVATE LIMITED","Promoter Group","Equity Shares","775597","3.53",,"325000","237250000","Buy","Equity Shares","1100597","4.94","27-Jun-2020","27-Jun-2020","30-Jun-2020","Conversion of security","-","-","0","0","0","0","NA","-","01-Jul-2020 13:47","https://archives.nseindia.com/corporate/xbrl/IT_1074647_272813_01072020014703_WEB.xml"
"TEAMLEASE","Teamlease Services Limited","7(2)","SUDEEP KUMAR SEN","Employees/Designated Employees","Equity Shares","1464","0.01",,"750","1276110","Sell","Equity Shares","714","0","26-Jun-2020","29-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","BSE","-","01-Jul-2020 13:38","https://archives.nseindia.com/corporate/xbrl/IT_1074645_272789_01072020013803_WEB.xml"
